what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331974699097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331974699920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331977540867
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331977550852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331977595660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331977616841
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331977616901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331977625906
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331977628359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331977628706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331977629696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331977697884
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331977698000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331977703994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331977707947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331977708862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331977710613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331977951263
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331977964607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331978020066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331979506459
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1331979506533
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331979509341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331979567180
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1331979591889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331979595504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331979597079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331979613017
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1331979613138
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331979622124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1331979632531
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331979636665
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1331979637346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331979641347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331979643910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331979645223
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331979646087
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331979648041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331979648375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331979649134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331979773447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331979805805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331979806603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331979808635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331979808827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331979809003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331979809163
