what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332003882779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332003884580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332003888233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1332003960298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332003960310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332003964681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332003969386
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005127208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005127767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005128039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332005628777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332005658254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005730031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005730559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005733344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005733823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005736469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332005736944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332006789404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332010344222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332011798747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332012172838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332012173035
